"Item type","Authors","Title","Journal","Publication year","Volume","Pages","Date published","ISBN","URLs","DOI","Abstract"
"Journal Article","Cardow A","The Metaphorical Rise of Entrepreneurship","SSRN Electronic Journal","2010","","","11 2010","","http://dx.doi.org/10.2139/ssrn.1710903","10.2139/ssrn.1710903","The words that have come to be associated with innovative and creative business enterprises – entrepreneur, entrepreneurship and entrepreneurial – have their English origins in the realm of armed conflict. However over time the terms were colonised by the commercial world with the result that by the end of the 20th century the terms have become firmly embed within the language of commerce. Yet along the way the meaning attached to the terms have become disassociated with commerce. By the start of the 21st Century the term entrepreneurial has become a metaphor, a stand in for innovation, creativity, proactivity and risk. It is argued that such a metaphor is not owned by the commercial world and instead is a figure of speech that can be used in any situation where the speaker requires a conceptual word to mean innovation, risk, proactivity and creativity."
"Book","Hill S,Ionescu-Somers A,Coduras A,Guerrero M,Menipaz E,Boutaleb F,Zbierowski P,Schøtt T,Sahasranamam S,Shay J,Monitor G","Global Entrepreneurship Monitor 2022/2023 Global Report: Adapting to a “New Normal”","","2023","","","02 2023","","","","Entrepreneurship"
"Book","Elam A,Hughes K,Guerrero M,Hill S,Nawangpalupi CB,Fuentes-Fuentes MM,González J,Fernandez-Laviada A,Martínez C,Rubio Bañón A,Chabrak N,Brush C,Baumer B,Heavlow R,(gera) T","Women’s Entrepreneurship 2020/21. Thriving Through Crisis","","2021","","","11 2021","9781916017887","","","Among many dimensions of entrepreneurship, Global Entrepreneurship Monitor (GEM) has tracked the evolution of women’s entrepreneurship worldwide for well over two decades. In so doing, GEM has acted as a veritable observatory, bearing witness to how women’s entrepreneurship has gradually entered the hearts, minds and everyday realities of people in almost every country across the globe. “Leave no one behind” is the core, transformative promise of the multi- stakeholder-driven United Nations 2030 Agenda for Sustainable Development and its Sustainable Development Goals (SDGs). Endemic discrimination — including gender discrimination — is a significant driver of people being “left behind”. This can inevitably lead to individuals, families and even entire communities being marginalized and excluded. Time and time again, GEM research has cast a revealing spotlight on women entrepreneurs, producing data that are testament to the increasing resourcefulness, creativity and capabilities of women when it comes to building companies that grow and prosper.As this report highlights, women entrepreneurs have also shown themselves to be strong and resilient in the face of crisis and chaos. In early 2020, the COVID-19 pandemic led to lockdowns across the globe, systemic failures in supply chains and collapsing social support mechanisms. This has left a significant and sometimes devastating imprint on many lives worldwide. However, when children are being educated online at home, or even simply not being formally educated at all, and when there is little to no access to childcare service providers, it is not difficult to work out which constituency of entrepreneurs is most affected by the pandemic. Women entrepreneurs inevitably shouldered the lion’s share of the pandemic effects burden. But, according to our research, many women entrepreneurs managed to turn the new business context to their advantage. As GEM data reveal, women entrepreneurs persisted in seeking opportunities to create businesses, even high-growth businesses. In so doing, they inspired others, especially other women, to also become entrepreneurs and start yet more businesses. This will ultimately lead to positive payoffs such as job creation and improved well-being for all, thus also contributing to fulfilling the SDG goals. Today, there is little doubt that women entrepreneurs are and will increasingly be an intrinsic part of the backbone of economic growth and stability for nations worldwide as they recover from the impacts of the global pandemic. We would like to congratulate all involved for an excellent multi-stakeholder consultation process and sharing of multidisciplinary expertise leading to this report, especially when facing pandemic challenges themselves. We sincerely hope that our findings, and the resulting messages that policymakers and other decision makers can take from them, will help our sponsors and important organizations across the globe to achieve the ambitious objective of “leaving no one behind” in the important area of entrepreneurship. Aileen Ionescu-Somers GEM Executive Director Professor Jeffrey Shay GEM-GERA Board Member representing Babson College"
"Book","Bosma N,Hill S,Ionescu-Somers A,Kelley D,Guerrero M,Schøtt T,(gera) T","Global Entrepreneurship Monitor. 2020/2021 Global Report","","2021","","","05 2021","9781916017863","","","Global Entrepreneurship Monitor (GEM) is a consortium of national country teams, primarily associated with top academic institutions, that carries out survey-based research on entrepreneurship around the world. GEM is the only global research source that collects data on entrepreneurship directly from individual entrepreneurs. GEM’s Adult Population Survey (APS) provides analysis on the characteristics, motivations, and ambitions of individuals starting businesses, as well as social attitudes towards entrepreneurship. The National Expert Survey (NES) looks at the national context in which individuals start businesses. The unique GEM tools and data benefit numerous stakeholder groups: • Academics are able to apply unique approaches to studying entrepreneurship at the national level. • Policymakers are able to make better-informed decisions to help their entrepreneurial ecosystems thrive. • Entrepreneurs have better knowledge on where to invest and influence. • Sponsors collaborate with GEM to advance their organizational interests. • International organizations leverage the entrepreneurial insights from GEM through reports and events. In numbers, GEM is: • 22 years of data • 200,000+ interviews a year • 110+ economies • 500+ specialists in entrepreneurship research • 300+ academic and research institutions • 200+ funding institutions GEM began in 1999 as a joint project between Babson College (USA) and London Business School (UK). The consortium has become the richest resource of information on entrepreneurship, publishing a range of global, national, and “special topic” reports on an annual basis."
"Journal Article","Behr R,Storr V","Understanding pandemic entrepreneurship as a unique form of crisis entrepreneurship","Journal of Entrepreneurship and Public Policy","2022","11","","11 2022","","http://dx.doi.org/10.1108/JEPP-07-2022-0074","10.1108/JEPP-07-2022-0074","Purpose There is a large literature about crisis entrepreneurship, spanning from necessity, natural disaster and long-term conflict entrepreneurship. This paper situates pandemic entrepreneurship as a unique form of crisis entrepreneurship. Design/methodology/approach The authors utilize the Kirznerian and Schumpeterian theories of entrepreneurship to understand pandemic entrepreneurship. Using evidence from the US COVID-19 pandemic, the authors argue that pandemics impact both the “identification” and “action” moments of entrepreneurship. Findings The Kirznerian identification moment becomes much more uncertain for entrepreneurs because of fluctuating conditions, such as public health conditions, new potential variants of the virus causing the pandemic, shifting government mandates and rules and so forth. The Schumpeterian action moment becomes more challenging because of the necessity of physical distancing and because, generally, all crises raise the cost of entrepreneurial action. That said, the authors still document considerable entrepreneurship during pandemics as entrepreneurs adapt to the increased uncertainty and costs by rely upon local and customary knowledge. Research limitations/implications This research finds that entrepreneurs, depending upon the crisis, face differing constraints. Specifically in times of pandemic, entrepreneurs face difficulty recognizing opportunities because of shifting conditions and acting upon opportunities because of financial and political constraints. This research thus implies that there are large opportunities for alleviation of such constraints if there were to be future variants or pandemics. Practical implications Practically speaking, this research affects how people study entrepreneurship. By recognizing the differing constraints that pandemic entrepreneurs face, the authors can better understand the last several years, and can also prepare better policy wise for future pandemics or further variants of COVID-19. Social implications Socially, entrepreneurship can be a large factor in recovery from disasters and crises. By recognizing and perhaps alleviating constraints that pandemic entrepreneurs face, future crises could have better responses and recoveries. Originality/value Although several studies have examined entrepreneurship during the COVID-19 pandemic, the extant literature on pandemic entrepreneurship remains relatively underdeveloped and has not yet focused on what distinguishes pandemic entrepreneurship from other forms of crisis entrepreneurship. The authors highlight what pandemic entrepreneurship has in common with other forms of crisis entrepreneurship and pinpoint the various ways that is distinct."
"Book Chapter","Rajagopal DA","Architecting Cleaner Entrepreneurship","","2023","","1-27","02 2023","","http://dx.doi.org/10.1007/978-3-031-24884-9_1","10.1007/978-3-031-24884-9_1","Cleaner entrepreneurship is an outgrowth of social entrepreneurship, which is manifested by the social consciousness, persistence, and values associated with stakeholders and social development. Broadly, cleaner entrepreneurship is supported by transformational leadership, public policies, and affordable technology to benefit social development and stakeholder values. The business model for cleaner entrepreneurship is thus based on the triple bottom line comprising people (stakeholders), planet (sustainability), and profit (profit-with-purpose). The cleaner entrepreneurship embeds the global sustainability development goals focusing on community commons. This chapter addresses, the role of public policies, society, and industries to support cleaner entrepreneurship at the bottom of the pyramid by integrating stakeholders and community. The entrepreneurial mindset to bridge the global–local entrepreneurship is also critically examined in this chapter."
"Journal Article","Sreenivasan A,Suresh M","Twenty years of entrepreneurship education: a bibliometric analysis","Entrepreneurship Education","2023","","1-24","02 2023","","http://dx.doi.org/10.1007/s41959-023-00089-z","10.1007/s41959-023-00089-z","The study aims to identify the trends in entrepreneurship education in prominent journals. A total of 2185 indexed research publications made up the studied data. The R bibliometric tool is then used to analyze the data to determine the bibliometric map of the evolution of entrepreneurship education. According to the findings, there have been a substantial number of publications on the growth of entrepreneurial education research. Wibowo A, Huang-Saad A, and Narmaditya BS are the authors who frequently do study on this topic during the research time. The co-occurrence network was also developed and was divided into three clusters. The major themes developed out of the co-occurrence network are determinants of entrepreneurship education for building an entrepreneurial intention among students in higher education, entrepreneurship in the classroom, and innovation and entrepreneurship education. This study has also brought in future research topics based on prominence percentile using SciVal. This study’s originality is from presenting a structured and in-depth literature review that describes the current state of the art for entrepreneurship education. A complete analysis of the knowledge acquired about its entrepreneurship education is offered to enhance the further research."
"Book Chapter","Chaurasia S","Concept of Entrepreneur and Entrepreneurship","","2022","","3-24","11 2022","9789811957468","http://dx.doi.org/10.1007/978-981-19-5747-5_1","10.1007/978-981-19-5747-5_1","Through the passage of time, mankind has witnessed evolution of business structures. Right from sharp edged stones to forged metal swords and today laser sharpened sophisticated blades used for grooming purposes. All this transformation has not only been experienced through the products that we use and the businesses that we see today but also the concepts and methodology that gave rise to such transformations. One of this is entrepreneurship, a term that embraces everything that is new, everything that is useful and everything that has the potential to change the future course of action and the way we look at the world. Entrepreneurship can be considered as a natural phenomenon of every business. It is the integral nature that provides the element of an enterprise to a business moving beyond production, distribution, and exchange. The chapter aims at providing in-depth insights about various concepts pertaining to entrepreneurs and entrepreneurship through extensive review of literature covering broad dimensions of entrepreneurship. The chapter incorporates highlights from different pertinent theories related to entrepreneurship and tries to present an elaborated description of the concept and critical aspects associated with the same. As entrepreneurship is defined, understood, and percolated variously in different parts of the world, a model for entrepreneurship is also established using insights from various literatures. The last section of the chapter discusses the recent scenario of entrepreneurship in India and its accomplishments in recent times."
"Book","Elam A,Hughes K,Guerrero M,Hill S,Nawangpalupi CB,Fuentes-Fuentes MM,González J,Fernandez-Laviada A,Martínez C,Rubio Bañón A,Chabrak N,Brush C,Baumer B,Heavlow R,(gera) T","Women’s Entrepreneurship 2020/21. Thriving Through Crisis","","2021","","","11 2021","9781916017887","","","Among many dimensions of entrepreneurship, Global Entrepreneurship Monitor (GEM) has tracked the evolution of women’s entrepreneurship worldwide for well over two decades. In so doing, GEM has acted as a veritable observatory, bearing witness to how women’s entrepreneurship has gradually entered the hearts, minds and everyday realities of people in almost every country across the globe. “Leave no one behind” is the core, transformative promise of the multi- stakeholder-driven United Nations 2030 Agenda for Sustainable Development and its Sustainable Development Goals (SDGs). Endemic discrimination — including gender discrimination — is a significant driver of people being “left behind”. This can inevitably lead to individuals, families and even entire communities being marginalized and excluded. Time and time again, GEM research has cast a revealing spotlight on women entrepreneurs, producing data that are testament to the increasing resourcefulness, creativity and capabilities of women when it comes to building companies that grow and prosper.As this report highlights, women entrepreneurs have also shown themselves to be strong and resilient in the face of crisis and chaos. In early 2020, the COVID-19 pandemic led to lockdowns across the globe, systemic failures in supply chains and collapsing social support mechanisms. This has left a significant and sometimes devastating imprint on many lives worldwide. However, when children are being educated online at home, or even simply not being formally educated at all, and when there is little to no access to childcare service providers, it is not difficult to work out which constituency of entrepreneurs is most affected by the pandemic. Women entrepreneurs inevitably shouldered the lion’s share of the pandemic effects burden. But, according to our research, many women entrepreneurs managed to turn the new business context to their advantage. As GEM data reveal, women entrepreneurs persisted in seeking opportunities to create businesses, even high-growth businesses. In so doing, they inspired others, especially other women, to also become entrepreneurs and start yet more businesses. This will ultimately lead to positive payoffs such as job creation and improved well-being for all, thus also contributing to fulfilling the SDG goals. Today, there is little doubt that women entrepreneurs are and will increasingly be an intrinsic part of the backbone of economic growth and stability for nations worldwide as they recover from the impacts of the global pandemic. We would like to congratulate all involved for an excellent multi-stakeholder consultation process and sharing of multidisciplinary expertise leading to this report, especially when facing pandemic challenges themselves. We sincerely hope that our findings, and the resulting messages that policymakers and other decision makers can take from them, will help our sponsors and important organizations across the globe to achieve the ambitious objective of “leaving no one behind” in the important area of entrepreneurship. Aileen Ionescu-Somers GEM Executive Director Professor Jeffrey Shay GEM-GERA Board Member representing Babson College"
"Book","Verma A","Entrepreneurship Amidst Pandemic COVID 19","","2022","","","08 2022","9789389914955","","","COVID19 brought challenges and threats to entrepreneurs and their organizations. At the end of December 2019, the coronavirus (COVID19) started spreading from Wuhan, China to other countries so widely and quickly, that on 11th March 2020, World Health Organization – WHO (2020) declared COVID19 pandemic. As a response to mitigate coronavirus spread and save lives, governments in affected countries imposed desperate measures of social distancing, widespread lockdown, restrictions on travelling, movement, and people gatherings. COVID19 has significantly influenced the entrepreneurial activities. COVID19 influenced traditional entrepreneurial decision-making processes. Some entrepreneurs had to close their businesses temporarily as a result of governmental restrictions and others had to impose precautions and to run their activities in reduced extent. They also needed to find innovative solutions in all aspects of their entrepreneurial endeavour due to COVID19. Therefore, this edited book represents various issues and difficulties faced by the entrepreneurs in COVID19 at different levels. The different issues which are addressed by the authors in this edited book are as Micro, Small and Medium Enterprise’s sector competitiveness & digitalization and how these sectors are taking initiatives and adopting digital path, challenges for digitalization and benefits of digitalization, present impact of COVID19 pandemic on business in India and exploring the business opportunities for entrepreneurs, importance of social entrepreneurship and social economy in present times of crisis, impact on the start-ups and what measures are being taken by the government to revive these start-ups to the new normal, current status of Indian agriculture and the major challenges faced by the sector, government initiatives taken to boost the growth of agri-startups in India and the impact on the Indian agri-startups, challenges faced by green marketing, difficulties faced by the entrepreneurs due to the pandemic, primary cause of financial loses and measures for attaining financial stability, an alternative learning and assessment module for educational institutions, an alternative guide for execution of application based exams (ABE) and explore the scope of technology entrepreneurs subsequent to the COVID19 pandemic, ill-effect of pandemic situation on women entrepreneurs and how the pandemic is affecting the career and family life of female entrepreneurs, remedial measures to handle the hurdles faced by women entrepreneurs, impact of lock down on SMEs, strategies followed by the entrepreneurs to overcome the COVID19 pandemic, problems faced by digital entrepreneurs and marketing strategies adopted by entrepreneurs, platform for games and media entertainment, rise in usage of OTT media, digitalisation of rural entrepreneurship and how it can support pioneering endurance and development in provincial ventures, intra and inter personal qualities that help women entrepreneurs to sustain their business, innovation and antifragile entrepreneurship, effect of SHG as an effective empowering instrument towards uplifting of women and alleviating poverty, role played by learning organization and importance of learning organization, effects of COVID19 on learning organization in India. Strategies followed by traders of stock in the stock market, reasons for investing in stocks and in gold, problems faced by universities, artisans during the time of the COVID19 pandemic, remittance of PMJJBY, transition of education from face to face to online mode pandemic, adoption of digital payment methods, entrepreneurship developments in Indian fruit and vegetable industries, reassessment of internal control system, understanding the changing business dynamics and how small businesses have converted challenges into opportunities during pandemic, entrepreneurship development among youth and opportunities in agripreneurship, crisis management and entrepreneurial resilience, impact of COVID19 on textile industry. The purpose of this book is to understand and analyse the dynamic environment of COVID19 and how this environment influenced the entrepreneurship. There are various entrepreneurial strategies suggested in this book by authors and researchers which will help the entrepreneurs in order to gain competitive advantage. This book will surely help the academicians, researchers and entrepreneurs in gaining knowledge about the difficulties faced by the entrepreneurs during the COVID19 pandemic and the solutions to overcome those difficulties."
