Month,entrepreneur: (Worldwide)
2004-01,26
2004-02,27
2004-03,25
2004-04,22
2004-05,19
2004-06,19
2004-07,19
2004-08,20
2004-09,24
2004-10,25
2004-11,22
2004-12,18
2005-01,22
2005-02,25
2005-03,21
2005-04,22
2005-05,20
2005-06,19
2005-07,17
2005-08,18
2005-09,22
2005-10,20
2005-11,19
2005-12,17
2006-01,19
2006-02,20
2006-03,19
2006-04,17
2006-05,17
2006-06,17
2006-07,14
2006-08,17
2006-09,19
2006-10,20
2006-11,19
2006-12,17
2007-01,19
2007-02,19
2007-03,18
2007-04,17
2007-05,16
2007-06,15
2007-07,16
2007-08,16
2007-09,19
2007-10,20
2007-11,18
2007-12,15
2008-01,19
2008-02,21
2008-03,18
2008-04,19
2008-05,16
2008-06,16
2008-07,15
2008-08,16
2008-09,21
2008-10,20
2008-11,21
2008-12,19
2009-01,29
2009-02,32
2009-03,34
2009-04,28
2009-05,30
2009-06,30
2009-07,28
2009-08,30
2009-09,38
2009-10,39
2009-11,38
2009-12,32
2010-01,44
2010-02,49
2010-03,43
2010-04,38
2010-05,35
2010-06,36
2010-07,28
2010-08,29
2010-09,39
2010-10,39
2010-11,39
2010-12,31
2011-01,38
2011-02,36
2011-03,33
2011-04,31
2011-05,31
2011-06,33
2011-07,29
2011-08,28
2011-09,37
2011-10,35
2011-11,35
2011-12,28
2012-01,35
2012-02,36
2012-03,33
2012-04,32
2012-05,30
2012-06,31
2012-07,29
2012-08,27
2012-09,37
2012-10,35
2012-11,34
2012-12,26
2013-01,34
2013-02,35
2013-03,32
2013-04,33
2013-05,33
2013-06,30
2013-07,30
2013-08,29
2013-09,35
2013-10,35
2013-11,33
2013-12,29
2014-01,35
2014-02,37
2014-03,34
2014-04,34
2014-05,32
2014-06,31
2014-07,28
2014-08,30
2014-09,39
2014-10,36
2014-11,38
2014-12,30
2015-01,37
2015-02,37
2015-03,37
2015-04,35
2015-05,33
2015-06,34
2015-07,30
2015-08,31
2015-09,37
2015-10,37
2015-11,36
2015-12,31
2016-01,37
2016-02,38
2016-03,37
2016-04,38
2016-05,34
2016-06,33
2016-07,28
2016-08,29
2016-09,38
2016-10,35
2016-11,35
2016-12,30
2017-01,36
2017-02,37
2017-03,37
2017-04,35
2017-05,33
2017-06,34
2017-07,30
2017-08,32
2017-09,36
2017-10,37
2017-11,37
2017-12,31
2018-01,38
2018-02,36
2018-03,33
2018-04,32
2018-05,34
2018-06,33
2018-07,29
2018-08,32
2018-09,37
2018-10,38
2018-11,35
2018-12,29
2019-01,38
2019-02,35
2019-03,35
2019-04,36
2019-05,32
2019-06,35
2019-07,33
2019-08,32
2019-09,38
2019-10,38
2019-11,36
2019-12,31
2020-01,37
2020-02,36
2020-03,35
2020-04,34
2020-05,35
2020-06,38
2020-07,35
2020-08,34
2020-09,43
2020-10,46
2020-11,40
2020-12,35
2021-01,40
2021-02,39
2021-03,45
2021-04,39
2021-05,36
2021-06,34
2021-07,33
2021-08,31
2021-09,41
2021-10,100
2021-11,37
2021-12,31
2022-01,46
2022-02,55
2022-03,52
2022-04,47
2022-05,43
2022-06,38
2022-07,36
2022-08,39
2022-09,49
2022-10,42
2022-11,40
2022-12,34
2023-01,44
2023-02,43
