"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Proceedings title","Date published","Abstract"
"Conference Paper","González-González CS,García-Holgado A,de los Angeles Martínez-Estévez M,Gil M,Martín-Fernandez A,Marcos A,Aranda C,Gershon TS","Gender and engineering: Developing actions to encourage women in tech","","2018","","","2082-2087","IEEE","","2018 IEEE global engineering education conference (EDUCON)","2018","There is a social and economic concern for the low representativeness of women in the technology industry. The timeline of recent years shows a drop in the interest of women in studying a career related to science, technology, engineering and mathematics (STEM), just when the demand labor in these fields is growing rapidly and new jobs will continue to emerge, and it is feared that they will not have enough people to cover It There are many social organizations that are taking measures to alleviate this situation, including educational branches, government agencies, industry and technological communities composed of women. In this research, the cases of industry and communities are studied. It is intended to dissect how these two ecosystems work to strengthen mechanisms that minimize the gender gap. On the one hand, the paper addresses, what are the communities, why they arise, what are their objectives, what they contribute to society and what actions they develop to contain the problem. Regarding companies, three major leaders of the sector, namely, Google, IBM and Microsoft, show their weaknesses and successes, and present development programs created to improve the internal situation in the themes of diversity and inclusion."
"Journal Article","Correll S,Mackenzie L","To succeed in tech, women need more visibility","Harvard Business Review","2016","","","2-6","","","","2016","Silicon Valley companies are making news these days for their efforts to fix the underrepresentation of women in tech. Many are focused on increasing the pipeline of women studying STEM in high school and college. But pipeline factors are not the only reason for the low numbers of women: Companies are failing to retain the female employees they have. A study by Jennifer Glass and coauthors in 2013 found that women leave STEM fields at dramatically higher rates than women in other occupations. After 12 years, 50% of technical women, predominately in engineering and computer science, had switched to other fields; 20% of other women professionals had done the same."
"Journal Article","Bebbington D","Women in science, engineering and technology: A review of the issues","Higher education quarterly","2002","56","4","360-375","","Wiley Online Library","","2002","Concern continues to be expressed over women’s difficulties in advancing their careers as academic scientists. Though some sciences may be numerically ‘feminised’, few women reach the upper echelons of science. Scant attention has been paid to issues of the progression of women from non–traditional backgrounds, such as those from ethnic minorities, who may be particularly disadvantaged. What research there is indicates a variation between the sciences in terms of women’s careers and patterns that are replicated globally. Explanations are now focusing on how the scientific culture itself acts as a barrier to women rather than on the notion that women themselves lack the requisite skills. The Athena Project is a policy response to this issue. Future research and policy needs to look more closely at differences between the sciences, how women from diverse backgrounds experience the academic labour market and epistemological connections between employment and engagement with the scientific agenda."
"Journal Article","Powell C,Chang AM","Women in tech as a driver for growth in emerging economies","Council on Foreign Relations","2016","","","","","","","2016","As the world transitions to an increasingly digital economy, many low- and middle-income countries facean obstacle: most emerging economies lack qualified people to fill critical information and communication technology (ICT) jobs, a shortage that is exacerbated by the low representation of women in these industries.1 The gap between the demand for ICT workers and the supply of job seekers with the necessary technical skills threatens the ability of those countries to participate in a powerful driver of growth in the twenty-first century—the digital economy. Increasing the participation of women in the ICT labor force would help bridge this gap, but women are not yet able to take full advantage of this growing sector. While a degree in computer science or engineering is necessary for most professional-level careers in ICT, the share of women graduates in these fields is slipping in many parts of the world."
"Journal Article","Kuschel K,Lepeley MT","Women start-ups in technology: Literature review and research agenda to improve participation","International Journal of Entrepreneurship and Small Business","2016","27","2-3","333-346","","Inderscience Publishers (IEL)","","2016","This paper explores the challenges women working in high-technology start-ups most frequently have to face and solve. The study is based in a literature review of issues that help to explain the differences between the genders showing that this is an understudied research area with broad opportunity to further studies with potential to uncover new topics and innovation hubs in the field in and outside the USA. Findings include recommendations about an existing gap and offers possible solutions to conduct systematic research leading to the development of effective approaches to increase and improve the participation of women in technology and business start-ups as an imperative to foster their inclusion in the global economy."
"Conference Paper","Holtzblatt K,Marsden N","Retaining women in technology","","2018","","","1-8","IEEE","","2018 IEEE international conference on engineering, technology and innovation (ICE/ITMC)","2018","Technology companies1are reshaping the experience of every person on the planet. Their impact is well beyond product development. We do not know where this journey will take us, but we do know that women are grossly underrepresented in shaping the outcome. Companies do not exclude women intentionally. Quite the contrary—tech companies are making great efforts to hire women. Still, they struggle to achieve anywhere near 50% women in their workforce or leadership. As a result, women are not participating effectively in reshaping the future of the human experience. We simply must do better."
"Journal Article","Del Carpio L,Guadalupe M","More women in tech? Evidence from a field experiment addressing social identity","Management Science","2022","68","5","3196-3218","","INFORMS","","2022","This paper investigates whether social identity considerations-through beliefs and normsdrive women's occupational choices. We implement two field experiments with potential applicants to a five-month software-coding program offered to women from low-income backgrounds in Peru and Mexico. When we correct the perception that women cannot succeed in technology by providing role models, information on returns and access to a female network, application rates double and the self-selection patterns change. Analysis of those patterns suggests that identity considerations act as barriers to entering the technology sector and that some high-cognitive skill women do not apply because of their high identity costs."
"Journal Article","Lemons MA,Parzinger M","Gender schemas: A cognitive explanation of discrimination of women in technology","Journal of Business and Psychology","2007","22","","91-98","","Springer","","2007","Despite the need for qualified personnel in the field of information technology (IT), women are under represented. Recruiting has been difficult and those women entering the profession often leave. Gender schema theory adds to the explanation of behaviors and attitudes in the workplace that may adversely impact women in technology. We surveyed members of Systers, an online forum for women in technology, to examine gender schemas of IT women to see if there is a significant difference between them and the general public. Our findings suggest that there is a significant difference in the gender-schemas of women in technology and the gender-schemas of the general population. A subsequent sample of male IT students and men in the general public also indicated a significant difference in gender schemas of these two groups. Implications of these differences and future research in this area are discussed."
"Book","Hill C,Corbett C,St Rose A","Why so few? Women in science, technology, engineering, and mathematics","","2010","","","","","ERIC","","2010","The number of women in science and engineering is growing, yet men continue to outnumber women, especially at the upper levels of these professions. In elementary, middle, and high school, girls and boys take math and science courses in roughly equal numbers, and about as many girls as boys leave high school prepared to pursue science and engineering majors in college. Yet fewer women than men pursue these majors. Among first-year college students, women are much less likely than men to say that they intend to major in science, technology, engineering, or math (STEM). By graduation, men outnumber women in nearly every science and engineering field, and in some, such as physics, engineering, and computer science, the difference is dramatic, with women earning only 20 percent of bachelor's degrees. Women's representation in science and engineering declines further at the graduate level and yet again in the transition to the workplace. Drawing on a large and diverse body of research, this report presents eight recent research findings that provide evidence that social and environmental factors contribute to the under-representation of women in science and engineering."
"Journal Article","Cronin C,Roger A","Theorizing progress: Women in science, engineering, and technology in higher education","Journal of Research in Science Teaching: The Official Journal of the National Association for Research in Science Teaching","1999","36","6","637-661","","Wiley Online Library","","1999","A conceptual framework of positions on women in science, engineering, and technology (SET) was developed, showing a chronological progression of the main approaches to women's underrepresentation in SET during the past 20 years. Numerous initiatives have been advocated to address women's underrepresentation in SET in higher education. This article arose out of one such initiative, Winning Women, which was intended to help higher education in Scotland move toward good practice in this field. Two members of the project team describe their key findings and experiences. They illustrate how the underrepresentation of women in SET continues to be both progressive and persistent (using an SET parity index). The conceptual framework was conceived and developed from a metaanalysis of feminist theories of the gendered politics of science and technology."
